JD,Mag
2590000,9
2590000.2,2
2590000.4,8
2590000.6,10
2590000.8,3
2590001,7
2590001.2,4
2590001.4,9
2590001.6,9
2590001.8,2
2590002,9
2590002.2,10
2590002.4,6
2590002.6,3
2590002.8,6
2590003,5
2590003.2,10
2590003.4,2
2590003.6,10
2590003.8,4
2590004,9
2590004.2,2
2590004.4,4
2590004.6,1
2590004.8,2
2590005,1
2590005.2,5
2590005.4,9
2590005.6,3
2590005.8,5
2590006,6
2590006.2,3
2590006.4,5
2590006.6,5
2590006.8,10
2590007,8
2590007.2,9
2590007.4,4
2590007.6,8
2590007.8,2
2590008,5
2590008.2,5
2590008.4,4
2590008.6,6
2590008.8,8
2590009,5
2590009.2,2
2590009.4,3
2590009.6,5
2590009.8,7
2590010,1
2590010.2,6
2590010.4,7
2590010.6,5
2590010.8,4
2590011,2
2590011.2,5
2590011.4,6
2590011.6,10
2590011.8,5
2590012,9
2590012.2,4
2590012.4,2
2590012.6,10
2590012.8,4
2590013,6
2590013.2,9
2590013.4,4
2590013.6,6
2590013.8,6
2590014,8
2590014.2,9
2590014.4,7
2590014.6,2
2590014.8,6
2590015,4
2590015.2,9
2590015.4,5
2590015.6,1
2590015.8,10
2590016,10
2590016.2,4
2590016.4,9
2590016.6,4
2590016.8,6
2590017,5
2590017.2,6
2590017.4,5
2590017.6,2
2590017.8,4
2590018,1
2590018.2,9
2590018.4,6
2590018.6,8
2590018.8,9
2590019,9
2590019.2,7
2590019.4,1
2590019.6,3
2590019.8,10
2590020,5
2590020.2,6
2590020.4,2
2590020.6,7
2590020.8,4
2590021,3
2590021.2,3
2590021.4,5
2590021.6,6
2590021.8,8
2590022,9
2590022.2,5
2590022.4,6
2590022.6,2
2590022.8,2
2590023,9
2590023.2,2
2590023.4,3
2590023.6,6
2590023.8,6
2590024,3
2590024.2,10
2590024.4,5
2590024.6,9
2590024.8,7
2590025,9
2590025.2,6
2590025.4,1
2590025.6,6
2590025.8,1
2590026,2
2590026.2,1
2590026.4,9
2590026.6,2
2590026.8,1
2590027,1
2590027.2,2
2590027.4,1
2590027.6,5
2590027.8,9
2590028,4
2590028.2,8
2590028.4,8
2590028.6,4
2590028.8,4
2590029,4
2590029.2,7
2590029.4,1
2590029.6,6
2590029.8,2
2590030,1
2590030.2,2
2590030.4,9
2590030.6,8
2590030.8,3
2590031,1
2590031.2,2
2590031.4,10
2590031.6,4
2590031.8,8
2590032,9
2590032.2,6
2590032.4,6
2590032.6,1
2590032.8,2
2590033,3
2590033.2,7
2590033.4,9
2590033.6,6
2590033.8,4
2590034,4
2590034.2,10
2590034.4,3
2590034.6,5
2590034.8,5
2590035,9
2590035.2,8
2590035.4,5
2590035.6,6
2590035.8,9
2590036,1
2590036.2,10
2590036.4,8
2590036.6,9
2590036.8,7
2590037,9
2590037.2,7
2590037.4,5
2590037.6,8
2590037.8,3
2590038,8
2590038.2,3
2590038.4,7
2590038.6,7
2590038.8,5
2590039,2
2590039.2,2
2590039.4,4
2590039.6,7
2590039.8,4
2590040,6
2590040.2,6
2590040.4,5
2590040.6,7
2590040.8,6
2590041,8
2590041.2,4
2590041.4,8
2590041.6,6
2590041.8,6
2590042,2
2590042.2,3
2590042.4,9
2590042.6,7
2590042.8,8
2590043,5
2590043.2,5
2590043.4,1
2590043.6,2
2590043.8,4
2590044,8
2590044.2,1
2590044.4,1
2590044.6,1
2590044.8,2
2590045,3
2590045.2,5
2590045.4,1
2590045.6,8
2590045.8,4
2590046,6
2590046.2,2
2590046.4,6
2590046.6,9
2590046.8,3
2590047,10
2590047.2,9
2590047.4,2
2590047.6,7
2590047.8,8
2590048,5
2590048.2,7
2590048.4,9
2590048.6,6
2590048.8,7
2590049,9
2590049.2,9
2590049.4,3
2590049.6,8
2590049.8,10
2590050,4
2590050.2,10
2590050.4,2
2590050.6,7
2590050.8,2
2590051,2
2590051.2,3
2590051.4,6
2590051.6,2
2590051.8,4
2590052,8
2590052.2,10
2590052.4,4
2590052.6,2
2590052.8,10
2590053,6
2590053.2,8
2590053.4,7
2590053.6,6
2590053.8,3
2590054,1
2590054.2,3
2590054.4,10
2590054.6,1
2590054.8,9
2590055,6
2590055.2,6
2590055.4,7
2590055.6,9
2590055.8,5
2590056,6
2590056.2,5
2590056.4,1
2590056.6,9
2590056.8,7
2590057,10
2590057.2,10
2590057.4,9
2590057.6,6
2590057.8,6
2590058,10
2590058.2,9
2590058.4,7
2590058.6,10
2590058.8,9
2590059,2
2590059.2,4
2590059.4,3
2590059.6,4
2590059.8,8
2590060,9
2590060.2,9
2590060.4,4
2590060.6,10
2590060.8,5
2590061,7
2590061.2,10
2590061.4,3
2590061.6,8
2590061.8,10
2590062,10
2590062.2,2
2590062.4,5
2590062.6,5
2590062.8,6
2590063,8
2590063.2,3
2590063.4,7
2590063.6,3
2590063.8,9
2590064,6
2590064.2,1
2590064.4,5
2590064.6,3
2590064.8,6
2590065,2
2590065.2,8
2590065.4,5
2590065.6,10
2590065.8,10
2590066,3
2590066.2,3
2590066.4,2
2590066.6,9
2590066.8,5
2590067,7
2590067.2,5
2590067.4,5
2590067.6,6
2590067.8,7
2590068,6
2590068.2,4
2590068.4,4
2590068.6,1
2590068.8,2
2590069,5
2590069.2,8
2590069.4,1
2590069.6,6
2590069.8,3
2590070,5
2590070.2,7
2590070.4,8
2590070.6,6
2590070.8,8
2590071,3
2590071.2,2
2590071.4,10
2590071.6,4
2590071.8,9
2590072,7
2590072.2,7
2590072.4,4
2590072.6,9
2590072.8,2
2590073,10
2590073.2,4
2590073.4,9
2590073.6,6
2590073.8,3
2590074,6
2590074.2,4
2590074.4,6
2590074.6,4
2590074.8,10
2590075,4
2590075.2,3
2590075.4,6
2590075.6,7
2590075.8,6
2590076,1
2590076.2,3
2590076.4,1
2590076.6,5
2590076.8,10
2590077,4
2590077.2,8
2590077.4,3
2590077.6,2
2590077.8,7
2590078,5
2590078.2,10
2590078.4,7
2590078.6,7
2590078.8,8
2590079,8
2590079.2,2
2590079.4,3
2590079.6,9
2590079.8,7
2590080,9
2590080.2,7
2590080.4,2
2590080.6,1
2590080.8,6
2590081,4
2590081.2,9
2590081.4,3
2590081.6,8
2590081.8,8
2590082,10
2590082.2,5
2590082.4,9
2590082.6,2
2590082.8,4
2590083,7
2590083.2,1
2590083.4,5
2590083.6,9
2590083.8,4
2590084,5
2590084.2,4
2590084.4,4
2590084.6,10
2590084.8,2
2590085,8
2590085.2,3
2590085.4,10
2590085.6,6
2590085.8,4
2590086,10
2590086.2,7
2590086.4,8
2590086.6,2
2590086.8,6
2590087,9
2590087.2,9
2590087.4,7
2590087.6,2
2590087.8,5
2590088,4
2590088.2,4
2590088.4,5
2590088.6,1
2590088.8,4
2590089,10
2590089.2,6
2590089.4,5
2590089.6,2
2590089.8,10
2590090,3
2590090.2,2
2590090.4,1
2590090.6,2
2590090.8,4
2590091,8
2590091.2,2
2590091.4,3
2590091.6,4
2590091.8,2
2590092,5
2590092.2,8
2590092.4,6
2590092.6,7
2590092.8,3
2590093,7
2590093.2,5
2590093.4,2
2590093.6,5
2590093.8,5
2590094,3
2590094.2,7
2590094.4,2
2590094.6,5
2590094.8,7
2590095,10
2590095.2,2
2590095.4,10
2590095.6,3
2590095.8,10
2590096,2
2590096.2,4
2590096.4,5
2590096.6,6
2590096.8,10
2590097,3
2590097.2,3
2590097.4,6
2590097.6,10
2590097.8,1
2590098,6
2590098.2,10
2590098.4,2
2590098.6,9
2590098.8,7
2590099,2
2590099.2,10
2590099.4,5
2590099.6,4
2590099.8,10
